CNES - Equipes de Saúde - Maranhão
Quantidade por Município e Ano/mês compet.
Período:Dez/2024
"Município";"2024/Dez";"Total"
"210005 ACAILANDIA";69;69
"210010 AFONSO CUNHA";7;7
"210015 AGUA DOCE DO MARANHAO";14;14
"210020 ALCANTARA";23;23
"210030 ALDEIAS ALTAS";29;29
"210040 ALTAMIRA DO MARANHAO";11;11
"210043 ALTO ALEGRE DO MARANHAO";28;28
"210047 ALTO ALEGRE DO PINDARE";31;31
"210050 ALTO PARNAIBA";8;8
"210055 AMAPA DO MARANHAO";11;11
"210060 AMARANTE DO MARANHAO";49;49
"210070 ANAJATUBA";29;29
"210080 ANAPURUS";17;17
"210083 APICUM-ACU";16;16
"210087 ARAGUANA";18;18
"210090 ARAIOSES";23;23
"210095 ARAME";27;27
"210100 ARARI";32;32
"210110 AXIXA";14;14
"210120 BACABAL";100;100
"210125 BACABEIRA";16;16
"210130 BACURI";17;17
"210135 BACURITUBA";7;7
"210140 BALSAS";55;55
"210150 BARAO DE GRAJAU";20;20
"210160 BARRA DO CORDA";40;40
"210170 BARREIRINHAS";49;49
"210173 BELAGUA";6;6
"210177 BELA VISTA DO MARANHAO";13;13
"210180 BENEDITO LEITE";6;6
"210190 BEQUIMAO";13;13
"210193 BERNARDO DO MEARIM";7;7
"210197 BOA VISTA DO GURUPI";9;9
"210200 BOM JARDIM";34;34
"210203 BOM JESUS DAS SELVAS";24;24
"210207 BOM LUGAR";14;14
"210210 BREJO";34;34
"210215 BREJO DE AREIA";11;11
"210220 BURITI";30;30
"210230 BURITI BRAVO";27;27
"210232 BURITICUPU";38;38
"210235 BURITIRANA";17;17
"210237 CACHOEIRA GRANDE";12;12
"210240 CAJAPIO";13;13
"210250 CAJARI";16;16
"210255 CAMPESTRE DO MARANHAO";15;15
"210260 CANDIDO MENDES";22;22
"210270 CANTANHEDE";22;22
"210275 CAPINZAL DO NORTE";11;11
"210280 CAROLINA";23;23
"210290 CARUTAPERA";19;19
"210300 CAXIAS";129;129
"210310 CEDRAL";10;10
"210312 CENTRAL DO MARANHAO";10;10
"210315 CENTRO DO GUILHERME";17;17
"210317 CENTRO NOVO DO MARANHAO";23;23
"210320 CHAPADINHA";51;51
"210325 CIDELANDIA";16;16
"210330 CODO";73;73
"210340 COELHO NETO";38;38
"210350 COLINAS";47;47
"210355 CONCEICAO DO LAGO-ACU";19;19
"210360 COROATA";39;39
"210370 CURURUPU";28;28
"210375 DAVINOPOLIS";14;14
"210380 DOM PEDRO";24;24
"210390 DUQUE BACELAR";13;13
"210400 ESPERANTINOPOLIS";18;18
"210405 ESTREITO";36;36
"210407 FEIRA NOVA DO MARANHAO";9;9
"210408 FERNANDO FALCAO";11;11
"210409 FORMOSA DA SERRA NEGRA";24;24
"210410 FORTALEZA DOS NOGUEIRAS";12;12
"210420 FORTUNA";19;19
"210430 GODOFREDO VIANA";11;11
"210440 GONCALVES DIAS";19;19
"210450 GOVERNADOR ARCHER";11;11
"210455 GOVERNADOR EDISON LOBAO";19;19
"210460 GOVERNADOR EUGENIO BARROS";19;19
"210462 GOVERNADOR LUIZ ROCHA";9;9
"210465 GOVERNADOR NEWTON BELLO";11;11
"210467 GOVERNADOR NUNES FREIRE";27;27
"210470 GRACA ARANHA";7;7
"210480 GRAJAU";49;49
"210490 GUIMARAES";14;14
"210500 HUMBERTO DE CAMPOS";30;30
"210510 ICATU";25;25
"210515 IGARAPE DO MEIO";12;12
"210520 IGARAPE GRANDE";13;13
"210530 IMPERATRIZ";116;116
"210535 ITAIPAVA DO GRAJAU";19;19
"210540 ITAPECURU MIRIM";47;47
"210542 ITINGA DO MARANHAO";22;22
"210545 JATOBA";11;11
"210547 JENIPAPO DOS VIEIRAS";18;18
"210550 JOAO LISBOA";25;25
"210560 JOSELANDIA";16;16
"210565 JUNCO DO MARANHAO";7;7
"210570 LAGO DA PEDRA";58;58
"210580 LAGO DO JUNCO";12;12
"210590 LAGO VERDE";15;15
"210592 LAGOA DO MATO";13;13
"210594 LAGO DOS RODRIGUES";7;7
"210596 LAGOA GRANDE DO MARANHAO";13;13
"210598 LAJEADO NOVO";7;7
"210600 LIMA CAMPOS";13;13
"210610 LORETO";13;13
"210620 LUIS DOMINGUES";9;9
"210630 MAGALHAES DE ALMEIDA";15;15
"210632 MARACACUME";21;21
"210635 MARAJA DO SENA";9;9
"210637 MARANHAOZINHO";18;18
"210640 MATA ROMA";20;20
"210650 MATINHA";21;21
"210660 MATOES";37;37
"210663 MATOES DO NORTE";15;15
"210667 MILAGRES DO MARANHAO";10;10
"210670 MIRADOR";26;26
"210675 MIRANDA DO NORTE";23;23
"210680 MIRINZAL";18;18
"210690 MONCAO";30;30
"210700 MONTES ALTOS";12;12
"210710 MORROS";18;18
"210720 NINA RODRIGUES";16;16
"210725 NOVA COLINAS";6;6
"210730 NOVA IORQUE";5;5
"210735 NOVA OLINDA DO MARANHAO";19;19
"210740 OLHO D'AGUA DAS CUNHAS";20;20
"210745 OLINDA NOVA DO MARANHAO";13;13
"210750 PACO DO LUMIAR";38;38
"210760 PALMEIRANDIA";21;21
"210770 PARAIBANO";25;25
"210780 PARNARAMA";29;29
"210790 PASSAGEM FRANCA";18;18
"210800 PASTOS BONS";24;24
"210805 PAULINO NEVES";17;17
"210810 PAULO RAMOS";21;21
"210820 PEDREIRAS";46;46
"210825 PEDRO DO ROSARIO";22;22
"210830 PENALVA";32;32
"210840 PERI MIRIM";13;13
"210845 PERITORO";25;25
"210850 PINDARE-MIRIM";30;30
"210860 PINHEIRO";55;55
"210870 PIO XII";23;23
"210880 PIRAPEMAS";17;17
"210890 POCAO DE PEDRAS";16;16
"210900 PORTO FRANCO";23;23
"210905 PORTO RICO DO MARANHAO";7;7
"210910 PRESIDENTE DUTRA";52;52
"210920 PRESIDENTE JUSCELINO";13;13
