CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Ano/mês compet. e Tipo de Estabelecimento
Período:Ago/2005-Mai/2025
"Ano/mês compet.";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"2005/Ago";1056;733;48;219;42;71;7;1;161;186;209;15;2;2;103;1;1;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2871
"2005/Set";1055;739;49;219;42;73;7;1;162;198;209;15;2;2;104;1;1;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2893
"2005/Out";1061;744;49;221;42;72;6;2;162;199;212;15;3;2;106;1;1;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2912
"2005/Nov";1061;744;49;221;42;72;6;2;162;199;212;15;3;2;106;1;1;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2913
"2005/Dez";1063;750;49;219;42;72;6;2;176;208;211;15;3;2;107;2;1;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2943
"2006/Jan";1061;755;50;221;41;72;6;2;181;212;211;15;3;3;108;3;1;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2960
"2006/Fev";1064;760;51;221;41;72;6;2;183;214;212;15;3;3;107;5;1;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2976
"2006/Mar";1069;766;55;217;42;72;6;2;182;218;208;15;3;3;107;5;1;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2988
"2006/Abr";1072;773;56;212;42;72;6;2;183;228;209;15;3;4;107;5;1;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3007
"2006/Mai";1072;775;56;214;41;72;5;2;182;232;209;15;3;5;107;5;1;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3013
"2006/Jun";1075;779;57;213;41;72;5;1;185;237;209;15;4;5;107;5;1;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3028
