CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Município e Tipo de Estabelecimento
Período:Mai/2025
"Município";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"210005 ACAILANDIA";-;33;16;4;-;-;-;-;33;18;19;-;5;6;4;-;1;-;1;-;2;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;146
"210010 AFONSO CUNHA";-;2;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;9
"210015 AGUA DOCE DO MARANHAO";-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210020 ALCANTARA";5;9;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"210030 ALDEIAS ALTAS";7;3;-;1;-;-;-;-;-;1;-;-;1;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"210040 ALTAMIRA DO MARANHAO";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10
"210043 ALTO ALEGRE DO MARANHAO";8;1;-;1;-;-;-;-;-;3;-;-;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;19
"210047 ALTO ALEGRE DO PINDARE";4;14;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"210050 ALTO PARNAIBA";-;5;3;1;-;-;-;-;-;4;1;-;1;1;2;-;-;-;1;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;23
"210055 AMAPA DO MARANHAO";2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"210060 AMARANTE DO MARANHAO";4;18;-;1;-;-;-;-;-;1;2;1;2;1;1;-;1;-;1;-;2;-;8;-;2;-;-;-;-;-;-;-;-;-;-;-;45
"210070 ANAJATUBA";1;15;-;1;-;-;-;-;-;2;-;1;1;1;1;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;27
"210080 ANAPURUS";1;7;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"210083 APICUM-ACU";-;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
