Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025, DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024."
Estado: MA.
Nível: Práticas em Saúde.
Tipo Informação: Quantidade de Atividade Coletiva


Práticas em Saúde;Educação;Saúde;
Aplicação tópica de flúor;1.500;2.991;
Outro procedimento coletivo;558;915;
Programa nacional de controle do tabagismo sessão 2;0;3;
Verificação da situação vacinal;2.448;4.074;
Escovação dental supervisionada;970;2.181;
Programa nacional de controle do tabagismo sessão 3;0;2;
Práticas corporais / atividade física;2.469;3.649;
Programa nacional de controle do tabagismo sessão 4;0;3;
Programa nacional de controle do tabagismo sessão 1;1;5;
Antropometria;2.267;3.574;
Saúde ocular;285;440;
Desenvolvimento da linguagem;69;131;
Saúde auditiva;75;150;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 27 de Junho de 2025 - 15:51h
