CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Maranhão
Quantidade por Ano/mês compet. e Ocupações de Nível Superior
Período:Ago/2007-Mai/2025
"Ano/mês compet.";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"2007/Ago";126;353;748;320;918;2327;264;84;117;764;92;1360;181;186;35;84;9;641;292;8901
"2007/Set";120;333;743;302;881;2459;267;86;116;877;89;1469;183;186;35;85;7;638;296;9172
"2007/Out";124;348;752;300;891;2512;280;88;110;923;90;1500;173;190;38;86;7;636;307;9355
"2007/Nov";121;349;747;293;887;2544;292;88;111;952;90;1507;174;194;37;86;7;643;308;9430
"2007/Dez";121;351;751;298;872;2558;291;87;112;960;90;1520;174;194;39;90;7;643;308;9466
"2008/Jan";129;352;758;304;850;2579;306;89;113;982;90;1542;174;199;37;91;7;641;311;9554
"2008/Fev";134;354;768;333;823;2592;321;95;131;970;91;1550;190;204;39;92;7;647;314;9655
"2008/Mar";134;352;774;353;819;2623;326;97;130;951;93;1559;199;205;40;94;8;656;318;9731
"2008/Abr";138;359;794;364;814;2677;344;104;135;951;101;1569;208;221;37;94;8;662;332;9912
"2008/Mai";139;362;806;370;814;2709;364;110;133;955;104;1575;204;229;37;94;8;648;351;10012
"2008/Jun";141;368;818;367;813;2740;381;124;131;969;106;1592;207;235;38;95;8;654;362;10149
"2008/Jul";141;373;819;370;816;2753;389;127;132;978;109;1587;207;238;38;94;8;650;371;10200
"2008/Ago";139;375;826;378;843;2783;394;130;133;980;112;1604;210;244;39;96;8;662;373;10329
"2008/Set";140;377;829;379;840;2793;393;131;128;982;112;1610;210;245;40;97;8;657;376;10347
"2008/Out";136;382;836;379;839;2795;399;131;129;979;115;1619;211;253;40;97;8;653;377;10378
"2008/Nov";136;381;838;380;841;2803;407;132;127;972;115;1615;211;253;40;97;8;651;378;10385
"2008/Dez";135;375;836;374;841;2814;413;132;132;947;116;1619;205;254;39;98;8;647;374;10359
"2009/Jan";139;374;840;376;838;2877;425;134;135;965;118;1647;206;258;39;96;8;660;373;10508
"2009/Fev";153;377;846;416;821;2905;441;135;134;957;125;1662;204;256;40;94;8;664;375;10613
"2009/Mar";149;385;856;427;826;2945;450;137;137;950;130;1674;210;266;39;94;8;670;385;10738
