Município;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total;Equipes_Dez_2024;Total_Equipes
210005 ACAILANDIA;;33.0;16.0;4.0;;;;;33.0;18.0;19.0;;5.0;6.0;4.0;;1.0;;1.0;;2.0;;;1.0;1.0;;;;;;;1.0;;;1.0;;146.0;69.0;69.0
210010 AFONSO CUNHA;;2.0;;1.0;;;;;;;;;1.0;1.0;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;1.0;;9.0;7.0;7.0
210015 AGUA DOCE DO MARANHAO;;6.0;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;8.0;14.0;14.0
210020 ALCANTARA;5.0;9.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;1.0;1.0;;;1.0;;;;;;;;;;;;21.0;23.0;23.0
210030 ALDEIAS ALTAS;7.0;3.0;;1.0;;;;;;1.0;;;1.0;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;17.0;29.0;29.0
210040 ALTAMIRA DO MARANHAO;;7.0;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;1.0;;10.0;11.0;11.0
210043 ALTO ALEGRE DO MARANHAO;8.0;1.0;;1.0;;;;;;3.0;;;;1.0;2.0;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;;19.0;28.0;28.0
210047 ALTO ALEGRE DO PINDARE;4.0;14.0;;1.0;;;;;;1.0;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;23.0;31.0;31.0
210050 ALTO PARNAIBA;;5.0;3.0;1.0;;;;;;4.0;1.0;;1.0;1.0;2.0;;;;1.0;1.0;1.0;;;;2.0;;;;;;;;;;;;23.0;8.0;8.0
210055 AMAPA DO MARANHAO;2.0;1.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;5.0;11.0;11.0
