Ano/mês compet.;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE REGULACAO DE SERVICOS DE SAUDE;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total
2005/Ago;10560;7330;480;2190;420;710;70;10;1610;1860;2090;150;20;20;1030;10;10;130;1.0;;;;;;;;;;;;;;;;;;;;28710
2005/Set;10550;7390;490;2190;420;730;70;10;1620;1980;2090;150;20;20;1040;10;10;130;1.0;;;;;;;;;;;;;;;;;;;;28930
2005/Out;10610;7440;490;2210;420;720;60;20;1620;1990;2120;150;30;20;1060;10;10;130;1.0;;;;;;;;;;;;;;;;;;;;29120
2005/Nov;10610;7440;490;2210;420;720;60;20;1620;1990;2120;150;30;20;1060;10;10;140;1.0;;;;;;;;;;;;;;;;;;;;29130
2005/Dez;10630;7500;490;2190;420;720;60;20;1760;2080;2110;150;30;20;1070;20;10;140;1.0;;;;;;;;;;;;;;;;;;;;29430
2006/Jan;10610;7550;500;2210;410;720;60;20;1810;2120;2110;150;30;30;1080;30;10;140;1.0;;;;;;;;;;;;;;;;;;;;29600
2006/Fev;10640;7600;510;2210;410;720;60;20;1830;2140;2120;150;30;30;1070;50;10;150;1.0;;;;;;;;;;;;;;;;;;;;29760
2006/Mar;10690;7660;550;2170;420;720;60;20;1820;2180;2080;150;30;30;1070;50;10;160;1.0;;;;;;;;;;;;;;;;;;;;29880
2006/Abr;10720;7730;560;2120;420;720;60;20;1830;2280;2090;150;30;40;1070;50;10;160;1.0;;;;;;;;;;;;;;;;;;;;30070
2006/Mai;10720;7750;560;2140;410;720;50;20;1820;2320;2090;150;30;50;1070;50;10;160;1.0;;;;;;;;;;;;;;;;;;;;30130
2006/Jun;10750;7790;570;2130;410;720;50;10;1850;2370;2090;150;40;50;1070;50;10;160;1.0;;;;;;;;;;;;;;;;;;;;30280
2006/Jul;10790;7800;570;2130;420;720;50;10;1890;2430;2110;150;40;50;1090;50;10;160;2.0;;;;;;;;;;;;;;;;;;;;30490
2006/Ago;10810;7870;560;2140;440;710;50;10;2040;2500;2110;150;50;50;1090;50;10;160;3.0;;;;;;;;;;;;;;;;;;;;30830
2006/Set;10970;7970;550;2180;430;680;50;20;2420;2530;2150;160;60;80;1110;50;10;160;3.0;;;;;;;;;;;;;;;;;;;;31610
2006/Out;11020;8030;520;2140;430;720;50;20;2420;2510;2150;150;70;90;1110;50;10;160;2.0;;;;;;;;;;;;;;;;;;;;31670
2006/Nov;10620;7900;520;2100;430;710;40;20;2250;2440;2080;150;60;80;1060;60;10;150;2.0;1.0;;;;;;;;;;;;;;;;;;;30710
