 Produção Ambulatorial do SUS - Maranhão - por local de residência
Qtd.aprovada por Procedimento e Ano processamento
Município: 211130 SAO LUIS
Período:Abr/2024-Abr/2025
"Procedimento";"2024";"2025";"Total"
"0101010028 ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA";9;-;9
"0101020104 ORIENTACAO DE HIGIENE BUCAL";17914;7685;25599
"0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS";105;2;107
"0101040024 AVALIACAO ANTROPOMETRICA";28;18;46
"0101050062 SESSAO DE ARTETERAPIA";2364;665;3029
"0101050089 SESSAO DE MUSICOTERAPIA";2350;995;3345
"0102020051 BUSCA ATIVA DE CASOS SUSPEITOS DE DOENCAS OU AGRAVOS RELACIONADOS AO TRABALHO";41;11;52
"0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE";1;-;1
"0201010046 BIOPSIA DE ANUS E CANAL ANAL";6;1;7
"0201010097 BIOPSIA DE CONJUNTIVA";5;-;5
"0201010119 BIOPSIA DE CORNEA";21;5;26
"0201010160 BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA";6;-;6
"0201010216 BIOPSIA DE FIGADO POR PUNCAO";142;77;219
"0201010224 BIOPSIA DE GANGLIO LINFATICO";1;-;1
"0201010232 BIOPSIA DE GLANDULA SALIVAR";3;2;5
"0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)";28;17;45
"0201010275 BIOPSIA DE MEDULA OSSEA";85;53;138
"0201010348 BIOPSIA DE OSSO DO CRANIO E DA FACE";13;1;14
"0201010372 BIOPSIA DE PELE E PARTES MOLES";933;611;1544
"0201010380 BIOPSIA DE PENIS";5;15;20
"0201010437 BIOPSIA DE RIM POR PUNCAO";2;1;3
"0201010500 BIOPSIA/PUNCAO DE VAGINA";112;65;177
"0201010518 BIOPSIA/PUNCAO DE VULVA";34;16;50
"0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA";24;5;29
"0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE";1179;667;1846
"0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA";35;4;39
"0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA";117;25;142
"0201010607 PUNCAO DE MAMA POR AGULHA GROSSA";960;411;1371
"0201010666 BIOPSIA DO COLO UTERINO";881;337;1218
"0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO";4;1;5
"0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL";18;4;22
"0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO";1;2;3
"0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS";7225;2173;9398
"0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)";4;-;4
"0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)";2;-;2
"0202010120 DOSAGEM DE ACIDO URICO";18;12;30
"0202010180 DOSAGEM DE AMILASE";4;-;4
"0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES";9;10;19
"0202010210 DOSAGEM DE CALCIO";7485;3218;10703
"0202010228 DOSAGEM DE CALCIO IONIZAVEL";4;5;9
"0202010260 DOSAGEM DE CLORETO";2;4;6
"0202010279 DOSAGEM DE COLESTEROL HDL";450;84;534
"0202010287 DOSAGEM DE COLESTEROL LDL";450;83;533
"0202010295 DOSAGEM DE COLESTEROL TOTAL";501;616;1117
"0202010317 DOSAGEM DE CREATININA";3306;1528;4834
"0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK)";6;2;8
"0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB";3;1;4
"0202010368 DOSAGEM DE DESIDROGENASE LATICA";4;-;4
"0202010384 DOSAGEM DE FERRITINA";2585;1020;3605
"0202010392 DOSAGEM DE FERRO SERICO";1054;444;1498
"0202010406 DOSAGEM DE FOLATO";-;2;2
"0202010422 DOSAGEM DE FOSFATASE ALCALINA";2539;1005;3544
"0202010430 DOSAGEM DE FOSFORO";7483;3215;10698
"0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)";10;14;24
"0202010473 DOSAGEM DE GLICOSE";3785;2097;5882
"0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA";1457;685;2142
"0202010538 DOSAGEM DE LACTATO";2;1;3
"0202010554 DOSAGEM DE LIPASE";3;-;3
"0202010562 DOSAGEM DE MAGNESIO";8;7;15
"0202010570 DOSAGEM DE MUCO-PROTEINAS";1;4;5
"0202010600 DOSAGEM DE POTASSIO";7374;3224;10598
"0202010619 DOSAGEM DE PROTEINAS TOTAIS";1;-;1
"0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES";2210;945;3155
"0202010635 DOSAGEM DE SODIO";7447;3223;10670
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";37;22;59
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";7511;3213;10724
"0202010660 DOSAGEM DE TRANSFERRINA";2568;982;3550
"0202010678 DOSAGEM DE TRIGLICERIDEOS";470;618;1088
"0202010694 DOSAGEM DE UREIA";14877;6391;21268
"0202010708 DOSAGEM DE VITAMINA B12";834;161;995
"0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )";3;5;8
"0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D";2421;765;3186
"0202010791 DOSAGEM DE PEPTIDEOS NATRIURETICOS TIPO B (BNP E NT-PROBNP)";2369;1425;3794
"0202020029 CONTAGEM DE PLAQUETAS";16;6;22
"0202020037 CONTAGEM DE RETICULOCITOS";1;-;1
"0202020070 DETERMINACAO DE TEMPO DE COAGULACAO";2;4;6
"0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE";2;5;7
"0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)";10;7;17
"0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)";13;11;24
"0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)";2;8;10
"0202020290 DOSAGEM DE FIBRINOGENIO";1;-;1
"0202020304 DOSAGEM DE HEMOGLOBINA";5052;2068;7120
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)";1;-;1
"0202020371 HEMATOCRITO";5045;2069;7114
"0202020380 HEMOGRAMA COMPLETO";2800;1290;4090
"0202020398 LEUCOGRAMA";1;-;1
"0202020495 PROVA DE RETRACAO DO COAGULO";1;5;6
"0202020509 PROVA DO LACO";1;4;5
"0202020576 PESQUISA DE ANTICOAGULANTE LUPICO";1;-;1
"0202030024 CONTAGEM DE LINFOCITOS CD4/CD8";44;21;65
"0202030067 DETERMINACAO DE COMPLEMENTO (CH50)";-;182;182
"0202030075 DETERMINACAO DE FATOR REUMATOIDE";2;2;4
"0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA";80;17;97
"0202030091 DOSAGEM DE ALFA-FETOPROTEINA";119;19;138
"0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)";8;3;11
"0202030121 DOSAGEM DE COMPLEMENTO C3";4;3;7
"0202030130 DOSAGEM DE COMPLEMENTO C4";4;3;7
"0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA)";15;2;17
"0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE)";10;1;11
"0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM)";17;1;18
"0202030202 DOSAGEM DE PROTEINA C REATIVA";9;5;14
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";1326;494;1820
"0202030270 PESQUISA DE ANTICORPOS ANTI-DNA";-;2;2
"0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT)";192;68;260
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";391;466;857
"0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)";-;1;1
"0202030342 PESQUISA DE ANTICORPOS ANTI-SM";-;1;1
"0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO)";-;1;1
"0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA)";-;1;1
"0202030458 PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70)";-;1;1
"0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)";1;1;2
"0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO";1;2;3
"0202030628 PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA";14;4;18
"0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)";12453;7323;19776
"0202030644 PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)";598;314;912
"0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)";21287;10778;32065
"0202030687 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE D (ANTI-HDV)";6;5;11
"0202030741 PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS";-;1;1
"0202030768 PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA";6;-;6
"0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)";3293;2006;5299
"0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS";1;-;1
"0202030806 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (ANTI-HAV-IGG)";314;193;507
"0202030873 PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA";6;-;6
"0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)";629;363;992
"0202030903 PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS";10;128;138
"0202030911 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA HEPATITE A (ANTI-HAV-IGM)";568;317;885
"0202030962 PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)";595;149;744
"0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)";3831;2342;6173
"0202030989 PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)";725;336;1061
"0202030997 DETECCAO DE CLAMIDIA E GONOCOCO POR BIOLOGIA MOLECULAR";8;63;71
"0202031012 PESQUISA DE FATOR REUMATOIDE (WAALER-ROSE)";-;2;2
"0202031020 PESQUISA DE HIV-1 POR IMUNOFLUORESCENCIA";1;-;1
"0202031071 QUANTIFICACAO DE RNA DO HIV-1";123;49;172
"0202031080 QUANTIFICACAO DE RNA DO VIRUS DA HEPATITE C";111;50;161
"0202031098 TESTE TREPONEMICO P/ DETECCAO DE SIFILIS";14;10;24
"0202031110 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS";77;10;87
"0202031179 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS EM GESTANTES";4;1;5
"0202031209 DOSAGEM DE TROPONINA";16544;8364;24908
"0202031217 DOSAGEM DO ANTIGENO CA 125";275;70;345
"0202031250 DETECCAO DE DNA PROVIRAL DO HTLV-1 E DO HTLV-2";19;12;31
"0202031268 TESTE CONFIRMATORIO COM PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2";2;2;4
"0202031276 DOSAGEM DE ADENOSINA-DESAMINASE (ADA)";10;9;19
"0202031365 TESTE DE LIBERACAO DE INTERFERON-GAMA PARA ILTB (IGRA)";1093;534;1627
"0202040089 PESQUISA DE LARVAS NAS FEZES";2;-;2
"0202040127 PESQUISA DE OVOS E CISTOS DE PARASITAS";13;2;15
"0202040143 PESQUISA DE SANGUE OCULTO NAS FEZES";3;1;4
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";60;19;79
"0202050025 CLEARANCE DE CREATININA";4;-;4
"0202050076 IDENTIFICACAO DE GLICIDIOS URINARIOS POR CROMATOGRAFIA (CAMADA DELGADA)";1;2;3
"0202050092 DOSAGEM DE MICROALBUMINA NA URINA";2;-;2
"0202050114 DOSAGEM DE PROTEINAS (URINA DE 24 HORAS)";-;4;4
"0202050130 EXAME QUALITATIVO DE CALCULOS URINARIOS";91;-;91
"0202060136 DOSAGEM DE CORTISOL";6;2;8
"0202060160 DOSAGEM DE ESTRADIOL";1;-;1
"0202060217 DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG)";86;24;110
"0202060233 DOSAGEM DE HORMONIO FOLICULO-ESTIMULANTE (FSH)";3;1;4
"0202060241 DOSAGEM DE HORMONIO LUTEINIZANTE (LH)";2;1;3
"0202060250 DOSAGEM DE HORMONIO TIREOESTIMULANTE (TSH)";1476;799;2275
"0202060268 DOSAGEM DE INSULINA";84;17;101
"0202060276 DOSAGEM DE PARATORMONIO";2133;849;2982
"0202060292 DOSAGEM DE PROGESTERONA";1;-;1
"0202060306 DOSAGEM DE PROLACTINA";1;-;1
